TotalT,Temp,LSR,CA,Size,IsoT,HeatT,Ramp,t_rxn,t_iso,t_100,t_pseudo,F_X,Ro,logRo,P,logP,H,logH,Acetyl,Yield
35,483.15,3.333333333,0,1,20,15,12.33333333,20,8.918918921,11.08108108,25.94594595,23.86363636,34660.61796,10.45335939,3346.717262,8.115735222,6268.029882,8.743217371,4.041182796,8.05968254
64.32967033,440.15,6,0,5,60.32967033,4,35.5,60.32967033,1.887323944,58.44234639,6.591549296,15.1,5665.76333,8.642196909,475.9730925,6.165361324,726.6297773,6.588417101,4.269325153,51.30384484
38.57142857,463.15,15,0,0.59,15,23.57142857,7,15,12.85714286,2.142857143,40,15,6699.21153,8.809745116,650.6178275,6.477922415,1113.25596,7.015044298,2.573478261,60.8
30,458.15,7.575757576,0,1,20,10,16,20,5.3125,14.6875,16.875,23.86363636,6364.202051,8.758444138,607.6831208,6.409653563,1015.31349,6.922952701,4.041182796,19.87301587
31.875,433.15,8,0,8,15,16.875,8,15,7.5,7.5,27.5,18.86363636,876.4212122,6.775846811,67.96215016,4.218950935,99.97163773,4.604886523,2.128411429,1.492819277
98.97336563,453.15,40,0,0.425,95.20547945,3.767886179,41.13712375,95.20547945,1.944715447,93.260764,6.320325203,20.9,21585.26772,9.979766311,2010.52835,7.606152827,3278.37616,8.095103506,3.508,72.37861357
10,453.15,8,0,8,5,5,31,5,2.580645161,2.419354839,8.387096774,16.89772727,1133.61478,7.033166726,105.5888989,4.659553242,172.173712,5.148503921,2.879853118,30.12777404
53.40082272,473.15,40,0,0.425,49.14675768,4.254065041,41.13712375,49.14675768,2.430894309,46.71586337,7.292682926,20.9,43237.86494,10.67447189,4247.203004,8.354015929,7610.41379,8.937272824,3.508,46.52600821
86,423.15,20,0,1.625,85.48090278,0.519097222,28.89632107,85.48090278,1.730324074,83.75057871,6.921296296,18.6,2535.442609,7.8381235,169.8683454,5.135023698,236.4649558,5.465800019,3.248888889,31.46236559
240.1533111,438.15,8,0,5,219.1533111,21,6.666666667,219.1533111,9.75,209.4033111,34.5,17.84090909,17971.65722,9.796551197,1478.302301,7.298649614,2233.266635,7.711220651,4.144342105,25.33112846
79.964063,463.15,6,0,0.42,79.964063,0,0,79.964063,0,79.964063,0,24.88636364,35713.07819,10.48327224,3468.402996,8.151449535,5934.697982,8.688571418,2.128411429,46.42803614
58.71869239,433.15,6,0,0.595,58.71869239,0,0,58.71869239,0,58.71869239,0,15.1,3430.820505,8.140554726,266.0432393,5.583658849,391.3469229,5.969594438,4.269325153,66.21971666
105,418.15,8,0,8,90,15,8,90,5.625,84.375,23.75,18.86363636,1901.992173,7.550657128,116.7077479,4.759672928,157.8871078,5.06188027,2.128411429,3.380048193
45,418.15,8,0,8,30,15,8,30,5.625,24.375,23.75,18.86363636,633.997391,6.452044839,38.90258262,3.66106064,52.62903594,3.963267981,2.128411429,1.238361446
70,453.15,5,0,0.177,60,10,15.5,60,5.161290323,54.83870968,16.77419355,12.16,13603.37735,9.518073376,1267.066787,7.144459892,2066.084544,7.63341057,2.128411429,59.86842105
20,453.15,8,0,8,15,5,31,15,2.580645161,12.41935484,8.387096774,16.89772727,3400.844339,8.131779015,316.7666968,5.758165531,516.521136,6.247116209,2.879853118,28.77202421
35.03884674,453.15,10,0,0.5,31.63884674,3.4,45.58823529,31.63884674,1.75483871,29.88400803,5.703225807,20.909,7173.252854,8.878114506,668.1421982,6.504501022,1089.475537,6.993451701,4.269325153,75.07886435
78.75,448.15,6,0,8,60,18.75,8,60,9.375,50.625,31.25,18.86363636,9692.331889,9.179090325,873.5243288,6.772535981,1389.355001,7.23659489,2.128411429,39.12289157
40,473.15,8,0,8,35,5,35,35,2.857142857,32.14285714,8.571428571,16.89772727,30791.96562,10.33500908,3024.657417,8.014553114,5419.777321,8.597810009,2.879853118,50.91593813
50,393.15,4,0,4,30,20,2,30,10,20,70,19.48,116.4112971,4.757129585,3.91125796,1.363859051,4.537251672,1.51232147,4.041182796,0.809688258
165,433.15,5.666666667,0,2,150,15,1.333333333,150,45.00000001,105,165,19.31818182,8764.212122,9.078431904,679.6215016,6.521536028,999.7163773,6.907471616,3.439166667,64.14665021
315,433.15,5.666666667,0,2,300,15,1.333333333,300,45.00000001,255,165,19.31818182,17528.42424,9.771579085,1359.243003,7.214683209,1999.432755,7.600618797,3.439166667,59.47995108
48,443.15,5,0,3,18,30,4.833333333,18,14.48275862,3.517241378,49.65517242,16.93181818,2071.720022,7.63613447,179.1541368,5.188246534,277.7862611,5.626851973,2.128411429,34.25503356
46,423.15,20,0,1.625,45.48090278,0.519097222,28.89632107,45.48090278,1.730324074,43.75057871,6.921296296,18.6,1349.005627,7.207123027,90.38002,4.504023225,125.8133609,4.834799546,3.248888889,8.655913978
110.7142857,443.15,15,0,0.59,90,20.71428571,7,90,10,80,34.28571429,16.03409,10358.60011,9.245572382,895.7706838,6.797684447,1388.931305,7.236289885,2.573478261,51.73352526
32.625,463.15,8,0,8,12,20.625,8,12,11.25,0.75,35,18.86363636,5359.369224,8.586601565,520.494262,6.254778864,890.6047682,6.791900747,2.128411429,21.54409639
63.80016653,433.15,6,0,5,59.80016653,4,33.75,59.80016653,1.777777778,58.02238875,6.518518519,14.7,3494.008963,8.158805056,270.9431932,5.60190918,398.5547056,5.987844768,4.269325153,31.28111057
239.8303918,428.15,8,0,5,214.8303918,25,5.2,214.8303918,10.57692308,204.2534687,40.38461538,16.70454545,8943.322118,9.098662401,647.7319493,6.473476952,927.1867352,6.832154986,4.144342105,38.28132887
90.05793353,453.15,6,0,5,90.05793353,55,2.818181818,90.05793353,28.38709678,61.67083675,92.25806452,21.59090909,20418.20089,9.924181983,1901.823608,7.550568499,3101.121742,8.039519177,3.695454545,15.02612708
375,418.15,8,0,8,360,15,8,360,5.625,354.375,23.75,18.86363636,7607.968692,8.936951489,466.8309914,6.145967289,631.5484313,6.448174631,2.128411429,29.64433735
120,443.15,4,0,10.35,60,60,2.416666667,60,28.96551724,31.03448276,99.31034481,19.74,6905.733407,8.840107274,597.1804559,6.392219339,925.9542035,6.830824777,3.439166667,40.47619048
70.875,433.15,8,0,8,54,16.875,8,54,7.5,46.5,27.5,18.86363636,3155.116364,8.056780657,244.6637406,5.49988478,359.8978958,5.885820369,2.128411429,6.997590361
119.8701715,433.15,6,0,5,119.8701715,0,0,119.8701715,0,119.8701715,0,15.1,7003.784067,8.854205863,543.108973,6.297309987,798.9078239,6.683245575,4.269325153,56.9304926
132.2404132,473.15,40,0,0.425,127.9863481,4.254065041,41.13712375,127.9863481,2.430894309,125.5554538,7.292682926,20.9,112598.6066,11.63158462,11060.42449,9.311128655,19818.78591,9.89438555,3.508,4.871766632
166.875,433.15,8,0,8,150,16.875,8,150,7.5,142.5,27.5,18.86363636,8764.212122,9.078431904,679.6215016,6.521536028,999.7163773,6.907471616,2.128411429,36.72674699
45,413.15,20,0,1.625,44.65393519,0.346064815,28.89632107,44.65393519,1.384259259,43.26967593,6.229166667,18.6,672.3686956,6.510806844,37.39758858,3.621606226,49.1340903,3.894553097,3.248888889,2.161290323
30.03997439,433.15,6,0,5,30.03997439,55,2.454545455,30.03997439,24.44444444,5.59552995,89.62962961,21.59090909,1755.178051,7.470325584,136.1054167,4.913429708,200.2096958,5.299365296,3.695454545,10.36809385
40.06707132,473.15,10,0,0.5,36.26707132,3.8,46.05263158,36.26707132,2.171428571,34.09564275,6.514285714,20.909,31906.69752,10.37057122,3134.156179,8.050115255,5615.984304,8.633372151,4.269325153,22.23974763
50,393.15,5,0,13.375,30,20,2,30,10,20,70,16.81818182,116.4112971,4.757129585,3.91125796,1.363859051,4.537251672,1.51232147,4.041182796,0.992813498
60,453.15,6,0,0.42,60,0,0,60,0,60,0,24.88636364,13603.37735,9.518073376,1267.066787,7.144459892,2066.084544,7.63341057,2.128411429,4.424157519
10.7402439,493.15,40,0,0.425,6,4.740243902,41.13712375,6,2.91707317,3.08292683,8.26504065,20.9,20483.04377,9.92735269,1892.703013,7.545761252,3698.472114,8.215675071,3.508,80.3632328
99.75416717,438.15,8,0,5,79.75416717,20,7,79.75416717,9.285714286,70.46845288,32.85714286,17.84090909,6540.236816,8.785728654,537.9830594,6.287827072,812.7293156,6.700398109,4.144342105,33.67941434
13,433.15,20,0,1.625,12.30787037,0.69212963,28.89632107,12.30787037,2.076388889,10.23148148,7.613425926,18.6,719.1252447,6.578035535,55.76462229,4.021139659,82.0291972,4.407075247,3.248888889,1.806451613
70,433.15,8,0,2,40,30,2,40,30,10,110,19.48,2337.123233,7.756676064,181.2324004,5.199780188,266.591034,5.585715776,4.041182796,32.1950252
100,463.15,6,0,0.42,100,0,0,100,0,100,0,24.88636364,44661.4102,10.7068651,4337.452183,8.3750424,7421.706401,8.912164283,2.128411429,15.51107796
153.6774194,433.15,6,0,5,149.6774194,4,33.75,149.6774194,1.777777778,147.8996416,6.518518519,15.1,8745.364354,9.076279051,678.15995,6.519383175,997.5664496,6.905318763,4.269325153,71.35991071
7.901785714,513.15,40,0,5,7.901785714,0,0,7.901785714,0,7.901785714,0,23.78409091,104674.8541,11.5586142,8225.200804,9.014957989,17409.54386,9.764773832,3.508,4.214421138
28.33862434,448.15,6,0,5,24.33862434,4,37.5,24.33862434,2,22.33862434,6.666666667,15.1,3931.633747,8.27681033,354.3396748,5.870255986,563.5831572,6.334314895,4.269325153,41.28323341
38.57142857,463.15,15,0,0.59,15,23.57142857,7,15,12.85714286,2.142857143,40,16.03409,6699.21153,8.809745116,650.6178275,6.477922415,1113.25596,7.015044298,2.573478261,58.93692751
63.7761194,425.15,6,0,5,59.7761194,4,31.75,59.7761194,1.637795276,58.13832412,6.42519685,15.1,2030.485019,7.616029969,140.5091506,4.945272615,197.8063208,5.287288374,4.269325153,14.70638574
51.10836331,440.15,6,0,5,28.92086331,22.1875,6.4,28.92086331,10.46875,18.45211331,36.5625,15.02,2716.056062,7.90693613,228.1721858,5.430100545,348.3320952,5.853156321,4.269325153,21.76331809
